SYMBOL,SERIES,CLOSE,TIMESTAMP
20MICRONS,EQ,58.75,01-JAN-2018
3IINFOTECH,EQ,8.8,01-JAN-2018
3MINDIA,EQ,19264.55,01-JAN-2018
5PAISA,EQ,357.45,01-JAN-2018
63MOONS,EQ,119.4,01-JAN-2018
8KMILES,EQ,901.95,01-JAN-2018
A2ZINFRA,EQ,42.35,01-JAN-2018
AARTIDRUGS,EQ,634.15,01-JAN-2018
AARTIIND,EQ,1141.0,01-JAN-2018
AARVEEDEN,EQ,50.2,01-JAN-2018
AARVI,SM,107.0,01-JAN-2018
ABAN,EQ,201.3,01-JAN-2018
ABB,EQ,1399.65,01-JAN-2018
ABBOTINDIA,EQ,5497.75,01-JAN-2018
ABCAPITAL,EQ,186.4,01-JAN-2018
ABFRL,EQ,170.0,01-JAN-2018
ABGSHIP,BZ,13.7,01-JAN-2018
ABMINTLTD,BE,42.05,01-JAN-2018
ACC,EQ,1731.35,01-JAN-2018
ACCELYA,EQ,1433.65,01-JAN-2018
ACCORD,SM,57.0,01-JAN-2018
ACE,EQ,141.6,01-JAN-2018
ADANIENT,EQ,166.05,01-JAN-2018
ADANIPORTS,EQ,399.65,01-JAN-2018
ADANIPOWER,EQ,42.6,01-JAN-2018
ADANITRANS,EQ,219.7,01-JAN-2018
ADFFOODS,EQ,312.85,01-JAN-2018
ADHUNIK,EQ,6.95,01-JAN-2018
ADHUNIKIND,BE,94.3,01-JAN-2018
ADLABS,BE,71.65,01-JAN-2018
ADORWELD,EQ,495.5,01-JAN-2018
ADSL,BE,27.15,01-JAN-2018
ADVANIHOTR,EQ,79.25,01-JAN-2018
ADVENZYMES,EQ,278.45,01-JAN-2018
AEGISCHEM,EQ,289.45,01-JAN-2018
AFL,EQ,54.7,01-JAN-2018
AGARIND,BE,631.4,01-JAN-2018
AGCNET,BE,127.6,01-JAN-2018
AGLSL,EQ,116.4,01-JAN-2018
AGRITECH,EQ,118.85,01-JAN-2018
AGROPHOS,SM,31.55,01-JAN-2018
AHLEAST,EQ,274.1,01-JAN-2018
AHLUCONT,EQ,383.5,01-JAN-2018
AHLWEST,BE,263.65,01-JAN-2018
AIAENG,EQ,1536.65,01-JAN-2018
AIFL,EQ,453.2,01-JAN-2018
AIRAN,SM,218.0,01-JAN-2018
AIROLAM,SM,55.75,01-JAN-2018
AISL,SM,170.35,01-JAN-2018
AJANTPHARM,EQ,1493.75,01-JAN-2018
AJMERA,EQ,326.2,01-JAN-2018
AKASH,SM,72.5,01-JAN-2018
AKSHARCHEM,EQ,766.15,01-JAN-2018
AKSHOPTFBR,BE,36.35,01-JAN-2018
AKZOINDIA,EQ,1860.05,01-JAN-2018
ALANKIT,EQ,73.1,01-JAN-2018
ALBERTDAVD,EQ,347.2,01-JAN-2018
ALBK,EQ,73.75,01-JAN-2018
ALCHEM,BE,14.9,01-JAN-2018
ALEMBICLTD,EQ,57.85,01-JAN-2018
ALICON,EQ,701.95,01-JAN-2018
ALKALI,EQ,80.8,01-JAN-2018
ALKEM,EQ,2225.95,01-JAN-2018
ALKYLAMINE,EQ,658.8,01-JAN-2018
ALLCARGO,EQ,209.15,01-JAN-2018
